Nombre,Descripcion,Precio,Imagen,Tipo,De Temporada,Cantidad
Manzana,Fruta fresca y crujiente,0.5,manzana.jpg,Fruta,Si,100
Plátano,Fruta tropical dulce,0.3,platano.jpg,Fruta,Si,50
Naranja,Fruta cítrica jugosa,0.4,naranja.jpg,Fruta,Si,75
Fresa,Fruta roja y dulce,1.2,fresa.jpg,Fruta,Si,30
Lechuga,Vegetal verde fresco,0.6,lechuga.jpg,Verdura,Si,40
Tomate,Vegetal para ensaladas,0.8,tomate.jpg,Verdura,Si,60
Zanahoria,Vegetal naranja,0.5,zanahoria.jpg,Verdura,Si,80
Brócoli,Vegetal rico en nutrientes,1.5,brocoli.jpg,Verdura,Si,25
Pimiento,Vegetal colorido,0.7,pimiento.jpg,Verdura,Si,20
Pepino,Vegetal refrescante,0.4,pepino.jpg,Verdura,Si,50
Cebolla,Base para muchas recetas,0.6,cebolla.jpg,Verdura,No,45
Ajo,Aroma y sabor para cocinar,0.3,ajo.jpg,Verdura,No,60
Perejil,Hierba fresca aromática,0.2,perejil.jpg,Verdura,Si,15
Cilantro,Hierba con sabor fuerte,0.4,cilantro.jpg,Verdura,Si,25
Calabacín,Vegetal versátil,0.8,calabacin.jpg,Verdura,Si,35
Berenjena,Vegetal morado,0.9,berenjena.jpg,Verdura,No,20
